五档,谓词,主体,客体,最终层,引文,解释
CONTRADICTED,occurred_at,一二·一运动,云南,UNRESOLVED,一二·一四烈士墓坐落在云南省昆明市昔日的西南联大的旧址、今天的云南师范大学的校园之中。它是为了纪念 1945 年爆发的一二·一运动中牺牲的四烈士而建。,证据明确指出事件发生在云南省，与断言中“长江流域”的空间表述直接矛盾。
CONTRADICTED,participated_in,朱德,智取宜章,UNRESOLVED,从朱德、陈毅率领一部分南昌起义军于一九二八年元月十二日智取宜章那天起... ‖ 1928 年 1 月 12 日，朱德率部智取宜章。,证据明确指出事件发生在 1928 年而非断言中的 1927 年
CONTRADICTED,died_at,周逸群,岳阳县,UNRESOLVED,一九三一年五月...周逸群由洞庭特区返回江北，途经岳阳县长贾家凉亭时，遭敌伏击，不幸壮烈牺牲...,证据明确记载周逸群于 1931 年在长贾家凉亭牺牲，而断言称其在岳阳县牺牲，地点表述不一致。
FULLY_SUPPORTED,member_of,杨尚琬,潼南县人民解放委员会,STRICT,解委会下设各股负责人是：秘书股李问农、晁泗浜（军代表），治安股杨尚琬、江伯伊，财税股唐举，文教股夏绍全，粮食股毛术，宣传队付怡如、朱明。,证据明确指出杨尚琬担任解委会下设的治安股负责人，且前文已定义潼南纵队改编为解委会直属分队，故其隶属关系成立。
FULLY_SUPPORTED,participated_in,江津漆南薰,三·三一惨案,STRICT,中共重庆地委书记杨闇公，地委委员冉钧，著名经济学家、无党派人士漆南熏和国民党（左派）省党部委员陈达三等同志壮烈牺牲。,证据明确记载漆南熏在重庆“三三一”惨案中牺牲，完全支持断言中的人物、事件及时间空间要素。
FULLY_SUPPORTED,participated_in,胡 筠,武汉收回英租界斗争,STRICT,在一九二七年“一三”事件武汉各界收回英租界的斗争中，胡筠与胡毓秀、陈云裳等女生过江到汉口散发传单，进行街头演讲，同码头工人一起控诉英帝国主义罪行。,证据明确记载了胡筠参与武汉收回英租界斗争的具体行动和角色，完全支持断言。
PARTIALLY_SUPPORTED,led,邬春,中国社会主义青年团新干支部,CONTEXTUAL,8月，邬春在县城与邬君召团（当时有团员12人）大会，成立中国社会主义青年团新干支部。,证据显示邬春参与了支部成立会议但未明确其领导角色
PARTIALLY_SUPPORTED,stationed_at,上饶(又称上广饶)中心县委,管村乡龙源、仓坞等村,CONTEXTUAL,1939 年 3 月，赣东北特委撤销后，福建省委在上饶组建了上饶（又称上广饶）中心县委,证据确认了上饶中心县委的组建及其别称，但未提及具体的驻扎地点（管村乡龙源、仓坞等村）。
PARTIALLY_SUPPORTED,active_at,红六军团,晃县(今新晃),STRICT,红二、六军团长征途中 的重要一仗 ——记芷江便水战斗 ... 便水（即新店坪、上坪一带）位于芷江与晃县交界之处。,证据确认了红六军团参与在晃县（今新晃）附近的战斗，但未提供具体的活跃时间或地点坐标信息。
UNSUPPORTED,organized,丁建华,农民小组,UNRESOLVED,,证据中未提及丁建华及其与农民小组的关系
UNSUPPORTED,occurred_at,镇反运动,万县(玩陵),UNRESOLVED,,证据仅提及“全县”结束运动，未明确地点为万县(玩陵)，无法支持该具体时空断言。
UNSUPPORTED,led,王树声,红一师,UNRESOLVED,,证据中未提及王树声或红一师，无法建立该断言所述的关系
