谓词,中文标签,定义域类型,值域类型
active_at,活动于,"[""Organization"", ""Person""]","[""Place""]"
active_during,活动于时间,"[""Organization"", ""Person""]","[""TimePeriod""]"
adapted_from,改编自,"[""CreativeWork""]","[""CreativeWork"", ""Document""]"
administratively_in,行政隶属,"[""Place""]","[""AdministrativeRegion"", ""Place""]"
advocated,主张,"[""Organization"", ""Person""]","[""Concept""]"
appointed,任命,"[""Organization"", ""Person""]","[""Person""]"
arrested_at,被捕于,"[""Person""]","[""Place""]"
authored,创作,"[""Organization"", ""Person""]","[""CreativeWork"", ""Document""]"
belongs_to_stage,处于演进阶段,"[""Artifact"", ""CreativeWork"", ""Event"", ""Spirit""]","[""EvolutionStage""]"
born_at,出生于地点,"[""Person""]","[""Place""]"
born_during,出生于时间,"[""Person""]","[""TimePeriod""]"
captured,攻占,"[""Organization"", ""Person""]","[""Place""]"
carried_out,执行,"[""Organization"", ""Person""]","[""Event""]"
collaborated_with,合作,"[""Organization"", ""Person""]","[""Organization"", ""Person""]"
colleague_of,同事,"[""Person""]","[""Person""]"
commanded,指挥,"[""Organization"", ""Person""]","[""Event"", ""Organization""]"
commemorates,纪念,"[""Artifact"", ""CreativeWork"", ""Document"", ""Institution""]","[""Event"", ""Person"", ""Spirit""]"
comrade_of,战友,"[""Person""]","[""Person""]"
contacted,联络,"[""Organization"", ""Person""]","[""Organization"", ""Person""]"
created,创建,"[""Organization"", ""Person""]","[""Artifact"", ""CreativeWork"", ""Organization""]"
created_at,创作于地点,"[""Artifact"", ""CreativeWork"", ""Document""]","[""Place""]"
created_during,创作于时间,"[""Artifact"", ""CreativeWork"", ""Document""]","[""TimePeriod""]"
criticized,批评,"[""Organization"", ""Person""]","[""Concept"", ""Organization"", ""Person""]"
depicts,表现,"[""CreativeWork""]","[""Event"", ""Person"", ""Place"", ""Spirit"", ""ValueFacet""]"
died_at,牺牲逝世于地点,"[""Person""]","[""Place""]"
died_during,牺牲逝世于时间,"[""Person""]","[""TimePeriod""]"
dispatched,派遣,"[""Organization"", ""Person""]","[""Event"", ""Organization"", ""Person"", ""Place""]"
disseminated_at,传播于地点,"[""Spirit"", ""ValueFacet""]","[""Institution"", ""Place""]"
disseminates,传播,"[""CreativeWork"", ""Document"", ""Institution"", ""Organization""]","[""Spirit"", ""ValueFacet""]"
documented_in,记载于,"[""Spirit"", ""ValueFacet""]","[""Document""]"
documents,记载,"[""Document""]","[""Event"", ""Organization"", ""Person"", ""Place"", ""Spirit"", ""ValueFacet""]"
edited,编辑审改,"[""Organization"", ""Person""]","[""CreativeWork"", ""Document""]"
embodied_by_organization,体现于组织,"[""Spirit"", ""ValueFacet""]","[""Institution"", ""Organization""]"
embodied_by_person,体现于人物,"[""Spirit"", ""ValueFacet""]","[""Person""]"
embodied_in_event,体现于事件,"[""Spirit"", ""ValueFacet""]","[""Event""]"
escorted,护送,"[""Organization"", ""Person""]","[""Person""]"
family_of,亲属,"[""Person""]","[""Person""]"
formed_during,形成于时间,"[""Spirit"", ""ValueFacet""]","[""TimePeriod""]"
formulated,制定,"[""Organization"", ""Person""]","[""Concept""]"
fought_at,战斗于,"[""Organization"", ""Person""]","[""Place""]"
governed,管辖,"[""Organization"", ""Person"", ""Place""]","[""Organization"", ""Place""]"
guided,指导,"[""Organization"", ""Person""]","[""Event"", ""Organization"", ""Person""]"
has_value_facet,价值关联,"[""Spirit""]","[""ValueFacet""]"
held_position,担任职务,"[""Person""]","[""Position""]"
held_position_in,任职于,"[""Person""]","[""Institution"", ""Organization""]"
implemented,执行方针,"[""Organization"", ""Person""]","[""Concept""]"
imprisoned_at,关押于,"[""Person""]","[""Institution"", ""Place""]"
influenced,影响,"[""CreativeWork"", ""Document"", ""Event"", ""Organization"", ""Person"", ""Spirit""]","[""CreativeWork"", ""Document"", ""Event"", ""Organization"", ""Person"", ""Place"", ""Spirit""]"
inherited_from,继承发展,"[""Spirit""]","[""Spirit""]"
introduced,介绍,"[""Person""]","[""Person""]"
killed,杀害,"[""Organization"", ""Person""]","[""Person""]"
led,领导,"[""Organization"", ""Person""]","[""Event"", ""Organization""]"
liberated,解放,"[""Event"", ""Organization"", ""Person""]","[""Place""]"
located_in,位于,"[""Institution"", ""Organization"", ""Place""]","[""AdministrativeRegion"", ""BasinSection"", ""Place""]"
member_of,隶属于,"[""Organization"", ""Person""]","[""Organization""]"
mentioned_in,关联文献,"[""Artifact"", ""CreativeWork"", ""Event"", ""Organization"", ""Person"", ""Place"", ""TimePeriod""]","[""Document""]"
